Model,Release date,Max resolution,Low resolution,Effective pixels,Zoom wide (W),Zoom tele (T),Normal focus range,Macro focus range,Storage included,Weight (inc. batteries),Dimensions,Price
Olympus E-300,2004,3264.0,3200.0,8.0,0.0,,,0.0,,624.0,,
Olympus E-330,,3136.0,,,0.0,0.0,,,0.0,,,1699.0
Olympus E-400,2006,,,,0.0,,0.0,,0.0,435.0,,1699.0
Olympus E-410,,3648.0,3200.0,,0.0,,0.0,0.0,0.0,435.0,,
Olympus E-500,,3264.0,,8.0,0.0,0.0,,0.0,0.0,479.0,130.0,1699.0
Olympus E-510,,3648.0,,10.0,,0.0,0.0,,0.0,490.0,136.0,
Olympus FE-100,2005,2272.0,1600.0,,,106.0,,,28.0,,88.0,129.0
Olympus FE-110,2005,2560.0,,5.0,35.0,106.0,50.0,5.0,,160.0,,129.0
Olympus FE-115,2006,2560.0,1600.0,5.0,,106.0,,,,,,129.0
Olympus FE-120,2005,,1600.0,6.0,,,,,,160.0,,129.0
Olympus FE-130,,2592.0,2048.0,5.0,,,,,22.0,160.0,96.0,
Olympus FE-140,,2816.0,,,38.0,,,5.0,22.0,160.0,,129.0
Olympus FE-150,2006,2560.0,,5.0,,96.0,50.0,6.0,,175.0,,
Olympus FE-170,2006,2816.0,2048.0,,,114.0,,,10.0,175.0,90.0,129.0
Olympus FE-180,2006,,2048.0,6.0,,114.0,0.0,0.0,10.0,,88.0,
Olympus FE-190,2006,,2048.0,,38.0,,0.0,0.0,22.0,150.0,91.0,129.0
Olympus FE-200,2006,,2048.0,,,140.0,0.0,,24.0,,98.0,129.0
Olympus FE-210,,3072.0,,7.0,,114.0,,10.0,,,90.0,129.0
Olympus FE-230,2007,3072.0,2048.0,,38.0,114.0,60.0,10.0,20.0,,,129.0
Olympus FE-240,,,2048.0,7.0,38.0,,,10.0,,,91.0,129.0
Olympus FE-250,2007,,,8.0,,,60.0,,20.0,,,
Olympus FE-270,2007,3072.0,2048.0,7.0,38.0,,60.0,,,122.0,90.0,
Olympus FE-280,,3264.0,,8.0,36.0,108.0,,,48.0,,92.0,
Olympus FE-290,2007,3072.0,2048.0,,28.0,112.0,40.0,5.0,6.0,142.0,,
Olympus FE-300,,4000.0,,,35.0,105.0,60.0,10.0,,,,129.0
Olympus IR-300,2005,2560.0,,,38.0,114.0,50.0,5.0,15.0,160.0,99.0,
Olympus Stylus 300 ,2003,2048.0,1600.0,,35.0,105.0,50.0,20.0,16.0,,99.0,
Olympus Stylus 400 ,,,2048.0,3.0,,105.0,,20.0,16.0,220.0,,
Olympus SP-310,,,2592.0,,,114.0,20.0,5.0,,230.0,,449.0
Olympus SP-320,2006,,2592.0,7.0,38.0,114.0,,2.0,25.0,230.0,100.0,
Olympus SP-350,2005,3264.0,2592.0,,,114.0,20.0,5.0,,,,
Olympus SP-500 UZ,2005,,,,,380.0,,,10.0,385.0,106.0,
Olympus SP-510 UZ,2006,3072.0,,,,380.0,60.0,3.0,0.0,410.0,,449.0
Olympus SP-550 UZ,2007,3072.0,,,,,10.0,1.0,,,116.0,
Olympus SP-560 UZ,2007,3264.0,2560.0,,27.0,486.0,,1.0,47.0,,,449.0
Olympus SP-700,,2816.0,2288.0,6.0,38.0,114.0,30.0,,,,98.0,449.0
Olympus Stylus 1000,2006,,,10.0,35.0,,,,0.0,,97.0,229.0
Olympus Stylus 1200,,4000.0,,,35.0,,,10.0,,,98.0,249.0
Olympus Stylus 410 ,2004,2272.0,2048.0,3.0,35.0,,,20.0,16.0,,,
Olympus Stylus 500 ,2004,,2048.0,4.0,,105.0,50.0,,32.0,,99.0,229.0
Olympus Stylus 600 ,2005,,2560.0,6.0,35.0,105.0,50.0,7.0,8.0,,97.0,
Olympus Stylus 700 ,2006,,,,,111.0,60.0,8.0,19.0,,95.0,229.0
Olympus Stylus 720 SW ,2006,3072.0,,,37.0,,60.0,8.0,19.0,,95.0,299.0
Olympus Stylus 725 SW,,3072.0,,,,,,2.0,19.0,,91.0,
Olympus Stylus 730,2006,,2560.0,7.0,38.0,,50.0,7.0,,,,
Olympus Stylus 740,,3072.0,,,36.0,180.0,70.0,3.0,,,,229.0
Olympus Stylus 750,,,,,36.0,,70.0,3.0,17.0,170.0,96.0,229.0
Olympus Stylus 760,2007,3072.0,,7.0,,111.0,,8.0,18.0,,,
Olympus Stylus 770 SW,2007,3072.0,,,38.0,114.0,,7.0,,195.0,,299.0
Olympus Stylus 780,2007,3072.0,2560.0,,36.0,180.0,70.0,,18.0,,100.0,299.0
Olympus Stylus 790 SW,2007,3072.0,2560.0,,,114.0,50.0,7.0,,,92.0,299.0
Olympus Stylus 800 ,,,2560.0,8.0,38.0,114.0,,,19.0,200.0,,249.0
Olympus Stylus 810 ,,,,8.0,35.0,105.0,60.0,10.0,,185.0,,
Olympus Stylus 820,2007,,,,,180.0,,3.0,,125.0,96.0,
Olympus Stylus 830,2007,,,8.0,,180.0,70.0,3.0,,,,249.0
Olympus Stylus Verve ,2004,2272.0,,3.0,35.0,,,,16.0,165.0,95.0,229.0
Olympus Stylus Verve  S,,2560.0,2048.0,4.0,35.0,,50.0,8.0,16.0,,95.0,
Panasonic Lumix DMC-F7,2001,1600.0,,,35.0,,50.0,10.0,,,,1499.0
Panasonic Lumix DMC-FX01,,2816.0,,,28.0,,,5.0,16.0,155.0,94.0,1499.0
Panasonic Lumix DMC-FX07,2006,,,7.0,,,,5.0,0.0,,94.0,
Panasonic Lumix DMC-FX1,2003,2048.0,1600.0,,,105.0,50.0,10.0,16.0,185.0,0.0,
Panasonic Lumix DMC-FX10,2007,,,,,,50.0,5.0,27.0,,,
Panasonic Lumix DMC-FX100,2007,4000.0,3264.0,,,,,,,150.0,54.0,1499.0
Panasonic Lumix DMC-FX12,2007,3072.0,,,,105.0,50.0,5.0,,155.0,,
Panasonic Lumix DMC-FX2,,,,4.0,35.0,,50.0,5.0,16.0,148.0,,1499.0
Panasonic Lumix DMC-FX3,,,,6.0,35.0,105.0,50.0,5.0,,165.0,,299.0
Panasonic Lumix DMC-FX30,,3072.0,,,28.0,100.0,,,27.0,162.0,95.0,
Panasonic Lumix DMC-FX33,,,,,28.0,100.0,50.0,,,,,299.0
Panasonic Lumix DMC-FX5,,2304.0,1600.0,4.0,,,50.0,10.0,16.0,185.0,0.0,
Panasonic Lumix DMC-FX50,,,2560.0,7.0,28.0,102.0,,,,190.0,98.0,1499.0
Panasonic Lumix DMC-FX55,2007,3264.0,,,28.0,,50.0,5.0,,165.0,95.0,1499.0
Panasonic Lumix DMC-FX7,2004,,,4.0,35.0,,50.0,5.0,16.0,153.0,94.0,
Panasonic Lumix DMC-FX8,,2560.0,2560.0,5.0,35.0,105.0,50.0,5.0,,,94.0,
Panasonic Lumix DMC-FX9,,,2048.0,6.0,35.0,105.0,,,,155.0,,
Panasonic Lumix DMC-FZ1,,1600.0,,,,420.0,30.0,,,354.0,125.0,149.0
Panasonic Lumix DMC-FZ10,2003,,1600.0,4.0,,,30.0,,,550.0,,149.0
Panasonic Lumix DMC-FZ18,2007,,2560.0,8.0,28.0,,30.0,1.0,27.0,,118.0,
Panasonic Lumix DMC-FZ2,2003,1600.0,1280.0,2.0,,420.0,,,,350.0,,
Panasonic Lumix DMC-FZ20,2004,,2048.0,5.0,36.0,432.0,,5.0,16.0,556.0,,149.0
Panasonic Lumix DMC-FZ3,,2016.0,,,,420.0,30.0,,,,108.0,299.0
Panasonic Lumix DMC-FZ30,,3264.0,,,,420.0,,,32.0,740.0,141.0,
Panasonic Lumix DMC-FZ4,2005,,1600.0,,,,,5.0,,326.0,102.0,
Panasonic Lumix DMC-FZ5,,2560.0,2048.0,4.0,36.0,432.0,50.0,,,326.0,,149.0
Panasonic Lumix DMC-FZ50,,3648.0,3264.0,10.0,35.0,420.0,30.0,5.0,32.0,734.0,141.0,
Panasonic Lumix DMC-FZ7,2006,,,,,,,5.0,,,113.0,149.0
Panasonic Lumix DMC-FZ8,,,,7.0,,432.0,30.0,,27.0,340.0,,
Panasonic Lumix DMC-L1,,,,7.0,,0.0,0.0,,0.0,606.0,146.0,1499.0
Panasonic Lumix DMC-L10,2007,3648.0,2816.0,10.0,,0.0,0.0,0.0,0.0,556.0,,1499.0
Panasonic Lumix DMC-LC1,2004,,2048.0,4.0,,,,30.0,16.0,,135.0,1499.0
Panasonic Lumix DMC-LC20,2002,,,,,,,,8.0,290.0,,1499.0
Panasonic Lumix DMC-LC33,2003,,1600.0,3.0,35.0,105.0,50.0,,32.0,,,1499.0
Panasonic Lumix DMC-LC40,,2240.0,1600.0,3.0,,,,6.0,16.0,,,1499.0
Panasonic Lumix DMC-LC43,,,1600.0,,35.0,105.0,50.0,10.0,32.0,215.0,,
Panasonic Lumix DMC-LC5,2001,,1600.0,,33.0,,,,32.0,435.0,,1499.0
Panasonic Lumix DMC-LC50,,,,3.0,35.0,105.0,50.0,,,210.0,65.0,
Panasonic Lumix DMC-LC70,2004,2304.0,1600.0,4.0,35.0,,50.0,10.0,16.0,210.0,65.0,
Panasonic Lumix DMC-LC80,,,,4.0,,,,10.0,,,,1499.0
Panasonic Lumix DMC-LS1,2005,,,,35.0,105.0,50.0,,,,94.0,
Panasonic Lumix DMC-LS2,,2560.0,2048.0,,,,50.0,,14.0,188.0,111.0,
Panasonic Lumix DMC-LS60,,2816.0,2048.0,6.0,,,,5.0,,,94.0,
Panasonic Lumix DMC-LS75,,3072.0,,,35.0,,,5.0,27.0,188.0,94.0,
Panasonic Lumix DMC-LX1,2005,3840.0,3072.0,8.0,28.0,112.0,,5.0,32.0,220.0,,
Panasonic Lumix DMC-LX2,,4224.0,,10.0,28.0,,,,,220.0,,
Panasonic Lumix DMC-LZ1,,2304.0,,,37.0,222.0,,,14.0,,,149.0
Panasonic Lumix DMC-LZ2,2005,,2048.0,5.0,37.0,,50.0,5.0,,,101.0,
Panasonic Lumix DMC-LZ3,2006,,2048.0,,37.0,222.0,,,14.0,230.0,100.0,149.0
Panasonic Lumix DMC-LZ5,,2816.0,,,37.0,,,5.0,,,,149.0
Panasonic Lumix DMC-LZ6,2007,,,,,222.0,50.0,5.0,,,,149.0
Panasonic Lumix DMC-LZ7,,3072.0,2560.0,7.0,,,,5.0,27.0,,,149.0
Panasonic Lumix DMC-TZ1,,2560.0,2048.0,4.0,35.0,,40.0,,13.0,250.0,,
Panasonic Lumix DMC-TZ2,,2816.0,,,,280.0,50.0,5.0,13.0,,,299.0
Panasonic Lumix DMC-TZ3,,3072.0,,,28.0,280.0,50.0,5.0,,,,299.0
Pentax EI-100,2001,,640.0,,,42.0,,,8.0,,105.0,
Pentax EI-200,2000,1600.0,,1.0,,108.0,50.0,,16.0,390.0,,
Pentax EI-2000,2000,1600.0,800.0,1.0,34.0,,50.0,,16.0,630.0,144.0,509.0
Pentax *ist D,2003,3008.0,,,0.0,,0.0,0.0,0.0,650.0,,
Pentax *ist DL,,,2400.0,6.0,,,0.0,0.0,,565.0,,799.0
Pentax *ist DL2,,3008.0,2400.0,6.0,0.0,,,0.0,0.0,,125.0,
Pentax *ist DS,2004,,2400.0,,0.0,,0.0,,0.0,605.0,125.0,799.0
Pentax *ist DS2,,3008.0,2400.0,6.0,0.0,0.0,,0.0,0.0,605.0,125.0,
Pentax K100D,2006,,2400.0,6.0,0.0,,,0.0,,,129.0,509.0
Pentax K100D Super,,,2400.0,,,0.0,0.0,,0.0,646.0,,509.0
Pentax K10D,2006,,,,,,,0.0,,793.0,142.0,799.0
Pentax K110D,,3008.0,2400.0,,,0.0,0.0,0.0,0.0,585.0,,
Pentax Optio 230,,1600.0,,1.0,,114.0,50.0,10.0,16.0,,104.0,
Pentax Optio 30,2004,,1600.0,3.0,38.0,,,,16.0,,,
Pentax Optio 330,,2048.0,,,,111.0,,14.0,,240.0,,
Pentax Optio 330GS,2002,,,,,114.0,4.0,5.0,16.0,230.0,,
Pentax Optio 330RS,2002,2048.0,1024.0,3.0,,,40.0,14.0,16.0,240.0,92.0,
Pentax Optio 33L,,2048.0,1600.0,,,114.0,40.0,10.0,16.0,225.0,105.0,269.0
Pentax Optio 33LF,2003,,,3.0,38.0,,,10.0,12.0,,109.0,
Pentax Optio 33WR,2003,2048.0,1600.0,3.0,37.0,104.0,30.0,1.0,,,82.0,
Pentax Optio 430,,,1120.0,3.0,37.0,,,14.0,16.0,240.0,,269.0
Pentax Optio 430RS,,2240.0,,3.0,37.0,,40.0,14.0,,240.0,92.0,
Pentax Optio 43WR,2004,2288.0,1600.0,,,104.0,,1.0,16.0,200.0,,
Pentax Optio 450,,2288.0,1600.0,3.0,37.0,187.0,60.0,,,250.0,100.0,
Pentax Optio 50,2005,,,4.0,,96.0,50.0,6.0,,180.0,91.0,149.0
Pentax Optio 550,,,2048.0,5.0,37.0,187.0,60.0,2.0,,250.0,,149.0
Pentax Optio 555,2003,,2048.0,,,187.0,60.0,,,250.0,,
Pentax Optio 60,,2848.0,2272.0,6.0,,108.0,50.0,5.0,12.0,200.0,91.0,149.0
Pentax Optio 750Z,2004,3056.0,2592.0,7.0,37.0,,60.0,,32.0,255.0,,149.0
Pentax Optio A10,,,2592.0,8.0,,114.0,35.0,,24.0,,89.0,
Pentax Optio A20,2006,3648.0,3072.0,10.0,38.0,114.0,35.0,,,145.0,89.0,
Pentax Optio A30,,,,,,114.0,,,22.0,145.0,89.0,
Pentax Optio E10,,2816.0,,,34.0,,50.0,,,,87.0,149.0
Pentax Optio E20,2006,2816.0,2272.0,,,,50.0,5.0,13.0,,,
Pentax Optio E30,,3072.0,2592.0,7.0,36.0,108.0,50.0,,,190.0,,149.0
Pentax Optio E40,,,,,,,,,10.0,,94.0,
Pentax Optio M10,,2816.0,,,,,,10.0,22.0,170.0,89.0,249.0
Pentax Optio M20,2006,3072.0,,7.0,38.0,114.0,40.0,5.0,22.0,,94.0,149.0
Pentax Optio M30,,3072.0,,7.0,,114.0,40.0,10.0,22.0,120.0,,269.0
Pentax Optio M40,2007,,2592.0,8.0,36.0,,,,,,,149.0
Pentax Optio MX4,2004,,1600.0,4.0,,,,,16.0,,73.0,149.0
Pentax Optio S,,2048.0,,,,105.0,,6.0,,,,
Pentax Optio S10,2007,,,10.0,38.0,114.0,,,,,,249.0
Pentax Optio S30,,2048.0,,3.0,38.0,114.0,,,,,89.0,269.0
Pentax Optio S4,,,1600.0,,35.0,,40.0,6.0,,115.0,,149.0
Pentax Optio S40,2004,2304.0,,4.0,35.0,105.0,40.0,,,,89.0,
Pentax Optio S45,2005,,,,35.0,107.0,40.0,,,,89.0,149.0
Pentax Optio S4i,,2304.0,,,,,40.0,,,,,
Pentax Optio S50,2004,2560.0,,,,107.0,,6.0,11.0,180.0,,
Pentax Optio S55,,,2304.0,5.0,35.0,107.0,40.0,,,155.0,89.0,149.0
Pentax Optio S5i,2004,2560.0,2048.0,4.0,36.0,,,,,120.0,84.0,149.0
Pentax Optio S5n,2005,2560.0,2304.0,,,107.0,40.0,6.0,,120.0,84.0,149.0
Pentax Optio S5z,2005,2560.0,,5.0,35.0,,40.0,6.0,,120.0,,149.0
Pentax Optio S6,2005,,2560.0,6.0,37.0,112.0,40.0,,23.0,,,149.0
Pentax Optio S60,,2816.0,2560.0,,35.0,106.0,40.0,6.0,,135.0,89.0,149.0
Pentax Optio S7,2006,3072.0,2592.0,7.0,37.0,,,,23.0,,86.0,149.0
Pentax Optio SV,,,,,36.0,,,3.0,32.0,165.0,91.0,149.0
Pentax Optio SVi,2005,,,,,180.0,60.0,,32.0,,,
Pentax Optio T10,2006,,,6.0,37.0,112.0,,15.0,,,95.0,249.0
Pentax Optio T20,,,2592.0,7.0,,112.0,40.0,,12.0,155.0,,
Pentax Optio T30,2007,,2592.0,7.0,38.0,112.0,40.0,,20.0,155.0,95.0,269.0
Pentax Optio W10,2006,2816.0,,,38.0,114.0,40.0,1.0,10.0,,107.0,
Pentax Optio W20,2006,,2560.0,,,114.0,,1.0,21.0,,107.0,
Pentax Optio W30,,,,,38.0,114.0,,,21.0,,,269.0
Pentax Optio WP,,2560.0,,4.0,,114.0,40.0,1.0,,135.0,102.0,269.0
Pentax Optio WPi,2005,,2560.0,,38.0,,,,,,,269.0
Pentax Optio X,2004,2560.0,,5.0,36.0,,40.0,,,145.0,,149.0
Pentax Optio Z10,,3264.0,,,,266.0,,8.0,0.0,0.0,,
Ricoh Caplio 500G,,,2592.0,,,85.0,30.0,1.0,,,133.0,229.0
Ricoh Caplio R1V,2005,2560.0,2048.0,4.0,28.0,135.0,,1.0,12.0,,,
Ricoh Caplio R2,,,2048.0,4.0,,135.0,30.0,1.0,28.0,,100.0,99.0
Ricoh Caplio R3,2005,2560.0,,,28.0,200.0,30.0,1.0,,,95.0,
Ricoh Caplio R30,,,2048.0,,,160.0,,,28.0,,,99.0
Ricoh Caplio R4,2006,2816.0,2048.0,6.0,,,,1.0,26.0,,95.0,99.0
Ricoh Caplio R40,2006,2816.0,,6.0,,160.0,30.0,1.0,,,95.0,199.0
Ricoh Caplio R5,2006,,,,28.0,200.0,,,26.0,165.0,96.0,99.0
Ricoh Caplio R6,,3072.0,2592.0,,28.0,,,1.0,,165.0,100.0,99.0
Ricoh Caplio R7,,3264.0,,,28.0,200.0,,1.0,24.0,,100.0,
Ricoh Caplio RR530,,,2048.0,,,96.0,30.0,1.0,12.0,190.0,91.0,399.0
Ricoh Caplio RR630,,2816.0,,,,108.0,,6.0,12.0,,91.0,399.0
Ricoh Caplio G3,,2048.0,1280.0,3.0,,,30.0,,8.0,,124.0,99.0
Ricoh GR Digital,2005,,2592.0,,,28.0,,2.0,26.0,200.0,,4999.0
Ricoh Caplio GX100,2007,,,10.0,,72.0,30.0,1.0,,260.0,112.0,399.0
Ricoh Caplio GX8,2005,,,,28.0,85.0,30.0,1.0,26.0,,114.0,99.0
Ricoh RDC-200G,2000,1792.0,,2.0,,,4.0,4.0,8.0,500.0,,399.0
Ricoh RDC-4300,1998,1280.0,,1.0,35.0,,40.0,,,,135.0,149.0
Ricoh RDC-5000,1999,1792.0,896.0,,,86.0,,4.0,,340.0,131.0,149.0
Ricoh RDC-5300,,1792.0,,2.0,38.0,114.0,,,,380.0,,177.0
Ricoh RDC-6000,2000,,800.0,,,40.0,,,,300.0,,149.0
Ricoh RDC-7,,2048.0,,3.0,35.0,,,1.0,,320.0,,
Ricoh RDC-i500,2001,2048.0,1024.0,,35.0,,24.0,1.0,8.0,320.0,142.0,
Ricoh RDC-i700,2000,2048.0,1024.0,3.0,35.0,,,1.0,8.0,450.0,,
Ricoh Caplio RR1,2001,,,,35.0,105.0,24.0,,,,135.0,99.0
Ricoh Caplio RX,2004,,1280.0,3.0,,100.0,,,8.0,,112.0,99.0
Samsung Digimax A50,,2592.0,2272.0,5.0,,105.0,80.0,5.0,,,107.0,
Samsung Digimax A502,2005,2592.0,,5.0,31.0,,100.0,2.0,16.0,175.0,97.0,
Samsung Digimax A55W,2005,2592.0,,,28.0,135.0,60.0,1.0,32.0,,,229.0
Samsung Digimax 130,2002,1280.0,,1.0,43.0,,80.0,40.0,8.0,,,299.0
Samsung Digimax 202,,1600.0,,1.0,35.0,47.0,,,6.0,,,229.0
Samsung Digimax 230,,1600.0,1024.0,1.0,33.0,,80.0,20.0,,0.0,,229.0
Samsung Digimax 250,2004,1600.0,,1.0,,,80.0,15.0,,,,229.0
Samsung Digimax 301,2004,,,,,33.0,10.0,19.0,16.0,,,299.0
Samsung Digimax 350SE,2002,2048.0,,,,102.0,80.0,20.0,,320.0,,
Samsung Digimax 370,2004,2048.0,,,35.0,114.0,,,0.0,157.0,,229.0
Samsung Digimax 401,,,,,35.0,33.0,10.0,19.0,,137.0,,
Samsung Digimax 410,,2272.0,1600.0,3.0,34.0,,80.0,20.0,0.0,340.0,,
Samsung Digimax 430,2004,,,3.0,,,80.0,,32.0,210.0,107.0,229.0
Samsung Digimax 530,2004,,2048.0,5.0,,114.0,,6.0,,195.0,110.0,
Samsung Digimax V4,2003,,1120.0,,,114.0,,,0.0,210.0,,
Samsung GX-10,,3872.0,3008.0,10.0,0.0,0.0,,,0.0,793.0,142.0,
Samsung GX-1L,2006,,,,,0.0,,,,570.0,125.0,299.0
Samsung GX-1S,2006,3008.0,,,0.0,,0.0,0.0,0.0,605.0,125.0,299.0
Samsung Digimax i5,2005,2595.0,2272.0,,39.0,117.0,,,50.0,,90.0,229.0
Samsung Digimax i6,2006,2816.0,2592.0,,39.0,,,1.0,45.0,0.0,96.0,229.0
Samsung i7,,,,7.0,,114.0,80.0,5.0,450.0,,,
Samsung i70,2007,3072.0,2592.0,7.0,38.0,114.0,,5.0,,180.0,90.0,
Samsung i85,2007,3264.0,,8.0,36.0,108.0,80.0,,173.0,,95.0,
Samsung L83T,,3264.0,,8.0,,114.0,,,19.0,160.0,,
Samsung L700,2007,,,,,105.0,,,,170.0,,199.0
Samsung L73,,3072.0,2592.0,7.0,35.0,105.0,80.0,,,,98.0,119.0
Samsung L730,,,2592.0,7.0,38.0,,80.0,10.0,16.0,183.0,95.0,99.0
Samsung L74 Wide,,,2592.0,,28.0,101.0,80.0,,450.0,210.0,,
Samsung L77,,,2592.0,,38.0,,80.0,,0.0,,94.0,119.0
Samsung L830,,3264.0,2592.0,,,,80.0,,10.0,183.0,95.0,99.0
Samsung NV10,,3648.0,,10.0,,,,4.0,,190.0,97.0,229.0
Samsung NV11,2007,3648.0,3136.0,10.0,,,,,0.0,240.0,,
Samsung NV15,,,,10.0,34.0,,80.0,4.0,20.0,0.0,97.0,
Samsung NV20,2007,4000.0,,,,,80.0,,,,,229.0
Samsung NV3,,3072.0,,7.0,,,,1.0,15.0,,,229.0
Samsung NV7 OPS,,,,7.0,,270.0,,1.0,19.0,290.0,106.0,
Samsung NV8,2007,,2592.0,,34.0,,80.0,4.0,20.0,0.0,97.0,
Samsung Pro815,,3264.0,,8.0,28.0,,,3.0,,910.0,,
Samsung S1030,2007,3648.0,3476.0,,35.0,,,4.0,45.0,,100.0,
Samsung S1050,2007,,,10.0,,190.0,80.0,,45.0,,105.0,
Samsung S630,,,,6.0,35.0,,,5.0,16.0,186.0,100.0,99.0
Samsung S730,2007,,,,35.0,105.0,,5.0,,,,
Samsung S830,2007,,3072.0,,35.0,105.0,,4.0,45.0,220.0,100.0,99.0
Samsung S85,,3264.0,,,38.0,,,1.0,,,,
Samsung S850,2007,3264.0,,8.0,38.0,,80.0,,,222.0,,
Samsung Digimax U-CA 3,2003,,,,35.0,,,5.0,,,,229.0
Samsung Digimax U-CA 4,2004,,,,35.0,105.0,80.0,,0.0,,102.0,229.0
Samsung Digimax U-CA 401,,2272.0,,,35.0,,,6.0,0.0,165.0,97.0,229.0
Samsung Digimax V40,2004,,2048.0,,,,,5.0,,,106.0,
Samsung Digimax V5,2004,2592.0,,,38.0,114.0,80.0,5.0,,,,229.0
Samsung Digimax V50,,,,,,113.0,80.0,5.0,,,,229.0
Samsung Digimax V6,2004,2816.0,,6.0,,114.0,80.0,6.0,,,106.0,
Samsung Digimax V700,,3072.0,2816.0,7.0,38.0,,,4.0,128.0,,,
Samsung Digimax V800,,,2816.0,8.0,38.0,,,,32.0,220.0,106.0,229.0
Sanyo DSC-AZ1,,2288.0,,3.0,35.0,,50.0,10.0,16.0,,106.0,429.0
Sanyo DSC-J1,2003,2048.0,1600.0,3.0,37.0,104.0,20.0,2.0,8.0,,,
Sanyo DSC-S1,2003,,1600.0,,,108.0,,,8.0,,100.0,149.0
Sanyo Xacti DSC-S3,2004,2048.0,,,37.0,112.0,,2.0,16.0,185.0,,1399.0
Sanyo Xacti DSC-S4,2004,2288.0,1600.0,,37.0,,50.0,2.0,,185.0,91.0,
Sanyo DSC-MZ1,,,640.0,1.0,,,,,,,106.0,429.0
Sanyo VPC-X350,1999,1024.0,640.0,0.0,,38.0,60.0,10.0,,260.0,,149.0
Sanyo VPC-Z400,,1280.0,,,34.0,,80.0,,4.0,350.0,,
Sigma DP1,2006,,,4.0,28.0,,,,0.0,,,
Sigma SD10,,2268.0,,3.0,,,,,,950.0,,1599.0
Sigma SD14,2006,,1776.0,,0.0,0.0,,,0.0,750.0,,19.0
Sigma SD9,2002,,,3.0,0.0,,0.0,,0.0,950.0,152.0,19.0
Sony Mavica FD-91,,1024.0,640.0,,,518.0,80.0,3.0,1.0,950.0,,
Sony Mavica CD1000,2000,1600.0,,1.0,37.0,,,,,,125.0,
Sony Mavica CD200,2001,1600.0,,,39.0,117.0,,3.0,8.0,620.0,144.0,
Sony Mavica CD250,2002,,1280.0,,,,,,6.0,,,
Sony Mavica CD300,,2048.0,1600.0,3.0,34.0,,,4.0,8.0,620.0,,
Sony Mavica CD350,2003,,1632.0,3.0,41.0,,,,,522.0,,1399.0
Sony Mavica CD400,,2272.0,,,,,,,,,,
Sony Mavica CD500,2003,,2048.0,,,,50.0,4.0,,606.0,139.0,1399.0
Sony DSC-D700,1998,,,1.0,28.0,140.0,20.0,,8.0,,,149.0
Sony DSC-D770,,,,1.0,28.0,,,0.0,,,,149.0
Sony DSC-F505,1999,1600.0,1024.0,1.0,,190.0,,8.0,,,107.0,149.0
Sony DSC-F505V,2000,1856.0,1600.0,2.0,38.0,,,2.0,8.0,,107.0,149.0
Sony DSC-F55,,,640.0,1.0,,37.0,,,4.0,300.0,103.0,
Sony DSC-F55V,2000,1856.0,,,,,,,,,103.0,429.0
Sony DSC-F707,2001,,2048.0,,38.0,190.0,,,,,,
Sony DSC-F717,2002,,2048.0,,38.0,190.0,,2.0,32.0,,,
Sony DSC-F828,2003,3264.0,2592.0,,28.0,200.0,50.0,,,906.0,,429.0
Sony DSC-F88,,,,,38.0,,50.0,8.0,,202.0,98.0,429.0
Sony DSC-G1,,2816.0,,,38.0,114.0,50.0,8.0,2.0,238.0,93.0,429.0
Sony DSC-H1,2005,2592.0,,5.0,36.0,,,2.0,32.0,591.0,108.0,429.0
Sony DSC-H2,2006,2816.0,2048.0,,,,50.0,,,,108.0,
Sony DSC-H3,2007,,3264.0,,38.0,,50.0,2.0,31.0,,106.0,429.0
Sony DSC-H5,2006,3072.0,2592.0,,36.0,432.0,50.0,,32.0,490.0,,429.0
Sony DSC-H7,2007,3264.0,2592.0,,31.0,465.0,50.0,2.0,,405.0,110.0,
Sony DSC-H9,2007,,2592.0,,31.0,,50.0,2.0,31.0,440.0,,
Sony DSC-L1,2004,,,,32.0,96.0,,12.0,,152.0,,
Sony DSC-M1,,2592.0,,5.0,38.0,114.0,50.0,8.0,32.0,215.0,51.0,429.0
Sony DSC-M2,,2592.0,,,,114.0,50.0,,,,51.0,
Sony DSC-N1,2005,,2592.0,8.0,38.0,114.0,50.0,6.0,,139.0,,429.0
Sony DSC-N2,2006,3264.0,,10.0,,114.0,50.0,,32.0,139.0,94.0,399.0
Sony DSC-P1,2000,,,3.0,39.0,117.0,50.0,,8.0,250.0,114.0,429.0
Sony DSC-P10,,,2048.0,5.0,38.0,114.0,50.0,10.0,32.0,206.0,105.0,149.0
Sony DSC-P100,2004,,,5.0,,114.0,,,,180.0,108.0,149.0
Sony DSC-P150,2004,3072.0,2592.0,,,114.0,50.0,6.0,32.0,180.0,,149.0
Sony DSC-P2,2002,,1280.0,,,,50.0,,,,114.0,399.0
Sony DSC-P20,2001,1216.0,1024.0,,42.0,,60.0,3.0,4.0,230.0,,399.0
Sony DSC-P200,,3072.0,2592.0,7.0,38.0,114.0,50.0,,32.0,180.0,,
Sony DSC-P3,2001,1920.0,,2.0,,,25.0,,8.0,194.0,113.0,429.0
Sony DSC-P30,,1280.0,1024.0,1.0,41.0,123.0,50.0,,4.0,,143.0,
Sony DSC-P31,,,1280.0,1.0,33.0,33.0,,10.0,,231.0,,429.0
Sony DSC-P32,,,,3.0,,33.0,,,,,101.0,
Sony DSC-P41,2004,,1600.0,,,33.0,,10.0,16.0,,106.0,429.0
